Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
323,input/WOFF\Firefox 2023-05-21 22.23 profile(1).json,27789395,8744.105263157895,0.002638208333,164.934,92.225,109.604,124.363
324,input/WOFF\Firefox 2023-05-21 22.23 profile.json,28797467,6907.414634146341,0.0026261125,168.037,104.752,120.065,129.342
325,input/WOFF\Firefox 2023-05-21 22.24 profile(1).json,28969003,6900.7594936708865,0.002612345834,160.319,97.525,119.356,119.735
326,input/WOFF\Firefox 2023-05-21 22.24 profile(2).json,28857845,7534.134969325153,0.0027245999999999998,166.925,102.853,111.599,126.275
327,input/WOFF\Firefox 2023-05-21 22.24 profile.json,29062694,5558.814814814815,0.002570891667,168.779,105.912,118.419,129.791
328,input/WOFF\Firefox 2023-05-21 22.25 profile(1).json,29989032,7056.64367816092,0.0025696,166.138,103.388,113.979,126.835
329,input/WOFF\Firefox 2023-05-21 22.25 profile.json,30546865,6711.822222222222,0.0029026,188.988,98.737,145.074,152.63
330,input/WOFF\Firefox 2023-05-21 22.26 profile(1).json,28813808,4104.994082840237,0.002701833334,165.243,92.651,119.698,132.774
331,input/WOFF\Firefox 2023-05-21 22.26 profile(2).json,28251114,7974.913580246914,0.002734129167,170.319,100.909,106.422,128.79
332,input/WOFF\Firefox 2023-05-21 22.26 profile.json,29229630,7071.403726708075,0.0027658125,166.908,100.34,113.434,124.868
333,input/WOFF\Firefox 2023-05-21 22.27 profile(1).json,27125174,8161.490683229814,0.002376166667,155.723,104.442,107.522,123.034
334,input/WOFF\Firefox 2023-05-21 22.27 profile.json,28859199,9438.926829268292,0.002904875,178.577,109.12,121.035,137.55
335,input/WOFF\Firefox 2023-05-21 22.28 profile(1).json,28737480,4600.096385542169,0.002693554167,164.151,114.927,112.332,128.543
336,input/WOFF\Firefox 2023-05-21 22.28 profile(2).json,27317470,7970.594594594595,0.002669616666,167.823,108.116,115.208,129.155
337,input/WOFF\Firefox 2023-05-21 22.28 profile.json,30026651,4440.4559585492225,0.003083975,193.41,129.119,143.555,153.514
338,input/WOFF\Firefox 2023-05-21 22.29 profile(1).json,28199045,5961.047619047619,0.002872808334,169.59,104.783,111.338,127.595
339,input/WOFF\Firefox 2023-05-21 22.29 profile.json,28071028,5342.8,0.002956495833,178.732,116.601,122.396,138.927
340,input/WOFF\Firefox 2023-05-21 22.30 profile(1).json,29630270,5304.701754385965,0.002291645833,165.012,98.66,110.222,127.509
341,input/WOFF\Firefox 2023-05-21 22.30 profile(2).json,28961557,4534.099447513812,0.0028911375,182.175,95.392,124.434,143.916
342,input/WOFF\Firefox 2023-05-21 22.30 profile.json,27978141,8636.024844720498,0.002598495834,165.228,99.276,110.33,122.894
343,input/WOFF\Firefox 2023-05-21 22.31 profile(1).json,28656560,6940.205128205128,0.0023460374999999998,153.302,89.298,105.052,115.112
344,input/WOFF\Firefox 2023-05-21 22.31 profile.json,27475932,6002.718954248366,0.0023016125,154.76,100.471,123.726,124.605
345,input/WOFF\Firefox 2023-05-21 22.32 profile(1).json,29447736,7311.20987654321,0.002286925,158.025,95.364,107.314,118.743
346,input/WOFF\Firefox 2023-05-21 22.32 profile(2).json,29699559,5809.953488372093,0.0029154124999999998,181.572,102.684,125.935,138.969
347,input/WOFF\Firefox 2023-05-21 22.32 profile.json,28294738,4627.042944785276,0.002514070833,162.224,97.864,120.736,122.703
348,input/WOFF\Firefox 2023-05-21 22.33 profile(1).json,27926654,7937.811320754717,0.002422658333,153.219,96.745,110.783,124.154
349,input/WOFF\Firefox 2023-05-21 22.33 profile.json,28927216,5282.942528735633,0.002402779166,154.3,95.02,111.195,122.794
350,input/WOFF\Firefox 2023-05-21 22.34 profile(1).json,29902171,7031.04,0.0026091375,168.372,104.466,117.734,129.779
351,input/WOFF\Firefox 2023-05-21 22.34 profile(2).json,28093683,7838.111801242236,0.002585204166,183.16,106.166,125.983,141.971
352,input/WOFF\Firefox 2023-05-21 22.34 profile.json,30153053,7903.224242424242,0.002568441666,164.307,89.319,105.815,122.789
353,input/WOFF\Firefox 2023-05-21 22.35 profile(1).json,28552728,5994.409638554217,0.0022705125,153.09,90.282,103.087,123.017
354,input/WOFF\Firefox 2023-05-21 22.35 profile.json,27980666,10044.671140939598,0.002397675,155.089,88.997,102.929,116.595
355,input/WOFF\Firefox 2023-05-21 22.36 profile(1).json,28061201,6945.411764705882,0.002773875,175.929,115.85,134.014,137.802
356,input/WOFF\Firefox 2023-05-21 22.36 profile(2).json,27043714,5142.8,0.002545708334,158.434,108.09,115.034,128.323
357,input/WOFF\Firefox 2023-05-21 22.36 profile.json,29390915,3410.516853932584,0.002624479167,168.934,86.666,125.1,125.914
358,input/WOFF\Firefox 2023-05-21 22.37 profile.json,29322894,3637.609195402299,0.0027530375,183.039,115.071,127.977,143.813
359,input/WOFF\Firefox 2023-05-22 11.01 profile(1).json,29045513,6300.5901639344265,0.003125258333,213.694,116.159,145.887,177.524
360,input/WOFF\Firefox 2023-05-22 11.01 profile.json,25785688,5802.0392156862745,0.0023526,145.146,89.084,108.052,113.732
361,input/WOFF\Firefox 2023-05-22 11.02 profile(1).json,28724603,6374.9693251533745,0.00291075,178.687,105.034,129.444,137.403
362,input/WOFF\Firefox 2023-05-22 11.02 profile(2).json,29687173,6682.059880239521,0.002580645834,166.217,112.313,113.423,125.814
363,input/WOFF\Firefox 2023-05-22 11.02 profile.json,27079266,8308.556962025317,0.0028503499999999998,179.19,121.457,134.768,135.604
364,input/WOFF\Firefox 2023-05-22 11.03 profile(1).json,31118113,7203.252747252747,0.0028586958329999998,174.83,109.23,122.389,132.964
365,input/WOFF\Firefox 2023-05-22 11.03 profile.json,28527157,7308.2913907284765,0.0025699625,161.56,98.325,117.433,124.503
